waddleDee,11,9
waddleDee,35,9
waddleDee,92,9
waddleDee,100,9
waddleDee,105,9
waddleDee,122,2
waddleDee,138,2
waddleDee,138,5
waddleDee,148,2
waddleDee,148,5
waddleDee,158,5
waddleDee,160,8
waddleDee,191,8
waddleDee,213,8
waddleDee,235,8
waddleDee,259,8
brontoBurt,5.0,25,7
brontoBurt,5.0,41,7
brontoBurt,5.0,43,2
brontoBurt,5.0,46,7
brontoBurt,5.0,50,5
brontoBurt,5.0,83,1
brontoBurt,5.0,92,8
brontoBurt,5.0,98,8
brontoBurt,5.0,112,5
brontoBurt,5.0,121,7
brontoBurt,5.0,127,7
brontoBurt,3.0,147,1
brontoBurt,3.0,153,7
brontoBurt,3.0,157,1
brontoBurt,3.0,157,4
brontoBurt,5.0,191,12
brontoBurt,5.0,230,7
brontoBurt,5.0,247,2
brontoBurt,5.0,251,3
bomber,263,8
